Business Name,CII Category
First National Bank,Banking/Financial Services
Greenhill Academy,Education
Regal Cinemas,Entertainment/Public Assembly
Pizza Hut,Food Sales and Service
Mercy Hospital,Healthcare
Oceanview Hotel,Lodging
General Motors,Manufacturing/Industrial
Park Place Plaza,Mixed Use Property
Downtown Business Center,Office
City Parking Services,Parking
City Waterworks,Public Services
St. John's Church,Religious Worship
Walmart,Retail
Quantum Technologies,Technology/Science
CleanTech Services,Services
National Electric Co.,Utility
Big Storage Warehouse,Warehouse/Storage
Clean Laundry Service,CII Laundries
Green Thumb Landscapes,Large Landscapes
Ocean Breeze Water Park,Water Recreation
Sparkle Car Wash,Car Wash
SunTrust Financial,Banking/Financial Services
Bright Future Academy,Education
Silver Screen Entertainment,Entertainment/Public Assembly
Tasty Treats Catering,Food Sales and Service
Starlight Healthcare,Healthcare
Sunset Inn,Lodging
BlueTech Manufacturing,Manufacturing/Industrial
Grand Central Plaza,Mixed Use Property
Corporate Tower,Office
